Make,Model,Vehicle_Class,Engine_Size(L),Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City_(L/100_km),Fuel_Consumption_Hwy_(L/100_km),Fuel_Consumption_Comb_(L/100_km),Fuel_Consumption_Comb_(mpg),CO2_Emissions(g/km),Fuel_Type_name,Transmission_Name
ACURA,ILX,COMPACT,2,4,AS5,Z,9.9,6.7,8.5,33,196,premium gasoline,automatic with select shift
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221,premium gasoline,manual
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,5.8,5.9,48,136,premium gasoline,continuously variable
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,premium gasoline,automatic with select shift
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,premium gasoline,automatic with select shift
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10,28,230,premium gasoline,automatic with select shift
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232,premium gasoline,automatic with select shift
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9,11.1,25,255,premium gasoline,automatic with select shift
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267,premium gasoline,manual
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212,premium gasoline,automatic with select shift
ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225,premium gasoline,manual
ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239,premium gasoline,automatic with select shift
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193,premium gasoline,automated manual
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359,premium gasoline,automatic
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359,premium gasoline,automatic
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,premium gasoline,automated manual
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,premium gasoline,manual
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,premium gasoline,automated manual
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,premium gasoline,manual
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,18,359,premium gasoline,automatic
AUDI,A4,COMPACT,2,4,AV8,Z,9.9,7.4,8.8,32,202,premium gasoline,continuously variable
AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,11.5,8.1,10,28,230,premium gasoline,automatic with select shift
AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,10.8,7.5,9.3,30,214,premium gasoline,manual
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230,premium gasoline,automatic with select shift
AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,10,28,230,premium gasoline,automatic with select shift
AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,10.8,7.5,9.3,30,214,premium gasoline,manual
AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,12,8.1,10.2,28,235,premium gasoline,automatic with select shift
AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,12.8,8.6,10.9,26,251,premium gasoline,automatic with select shift
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1,35,217,diesel,automatic with select shift
AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,13.3,8.5,11.2,25,262,premium gasoline,automatic with select shift
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1,35,217,diesel,automatic with select shift
AUDI,A8,MID-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258,premium gasoline,automatic with select shift
AUDI,A8,MID-SIZE,4,8,AS8,Z,13.7,8.3,11.3,25,265,premium gasoline,automatic with select shift
AUDI,A8 TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224,diesel,automatic with select shift
AUDI,A8L,FULL-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258,premium gasoline,automatic with select shift
AUDI,A8L,FULL-SIZE,4,8,AS8,Z,14.7,9.7,12.5,23,288,premium gasoline,automatic with select shift
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363,premium gasoline,automatic with select shift
AUDI,A8L TDI (modified),FULL-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224,diesel,automatic with select shift
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.8,8.8,10.5,27,242,premium gasoline,automatic with select shift
AUDI,Q5,SUV - SMALL,2,4,AS8,Z,12,8.5,10.4,27,239,premium gasoline,automatic with select shift
AUDI,Q5,SUV - SMALL,3,6,AS8,Z,12.9,9.2,11.2,25,258,premium gasoline,automatic with select shift
AUDI,Q5 TDI (modified),SUV - SMALL,3,6,AS8,D,10.2,7.8,9,31,244,diesel,automatic with select shift
AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.9,8.3,9.2,31,212,premium gasoline,automatic with select shift
AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,15.1,10.9,13.2,21,304,premium gasoline,automatic with select shift
AUDI,Q7 TDI (modified),SUV - STANDARD,3,6,AS8,D,12.4,8.7,10.7,26,290,diesel,automatic with select shift
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336,premium gasoline,automatic
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,premium gasoline,manual
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,premium gasoline,automatic
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,premium gasoline,manual
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336,premium gasoline,automatic
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,premium gasoline,manual
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,premium gasoline,automatic
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,premium gasoline,manual
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306,premium gasoline,automatic
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308,premium gasoline,automatic
AUDI,RS 7,MID-SIZE,4,8,AS8,Z,15.5,8.8,12.5,23,293,premium gasoline,automatic with select shift
AUDI,S4,COMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262,premium gasoline,automatic
AUDI,S4,COMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285,premium gasoline,manual
AUDI,S5,SUBCOMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262,premium gasoline,automatic
AUDI,S5,SUBCOMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285,premium gasoline,manual
AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,13.3,9.5,11.6,24,267,premium gasoline,automatic
AUDI,S6,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281,premium gasoline,automatic
AUDI,S7,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281,premium gasoline,automatic
AUDI,S8,MID-SIZE,4,8,AS8,Z,15.8,9.2,12.8,22,300,premium gasoline,automatic with select shift
AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,14.9,10.1,12.7,22,292,premium gasoline,automatic with select shift
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,10.4,7.6,9.1,31,209,premium gasoline,automatic
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,10.4,7.6,9.1,31,209,premium gasoline,automatic
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,11.5,8.8,10.3,27,237,premium gasoline,automatic
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,11.5,8.8,10.3,27,237,premium gasoline,automatic
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,16.3,9.8,13.4,21,314,premium gasoline,automatic with select shift
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,AS8,Z,18.8,11.5,15.5,18,356,premium gasoline,automatic with select shift
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,17.4,10.2,14.2,20,332,premium gasoline,automatic with select shift
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380,premium gasoline,automatic with select shift
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380,premium gasoline,automatic with select shift
BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3,11.9,16.5,17,388,premium gasoline,automatic with select shift
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19,15,437,premium gasoline,automatic with select shift
BMW,320i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193,premium gasoline,automatic
BMW,320i,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200,premium gasoline,manual
BMW,320i xDRIVE,COMPACT,2,4,A8,Z,10.2,7,8.8,32,202,premium gasoline,automatic
BMW,328d xDRIVE,COMPACT,2,4,A8,D,7.6,5.5,6.7,42,181,diesel,automatic
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,7.6,5.5,6.7,42,181,diesel,automatic
BMW,328i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193,premium gasoline,automatic
BMW,328i,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200,premium gasoline,manual
BMW,328i xDRIVE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209,premium gasoline,automatic
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209,premium gasoline,automatic
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209,premium gasoline,automatic
BMW,335i,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221,premium gasoline,automatic
BMW,335i,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230,premium gasoline,manual
BMW,335i xDRIVE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228,premium gasoline,automatic
BMW,335i xDRIVE,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237,premium gasoline,manual
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,11.9,8,10.1,28,232,premium gasoline,automatic
BMW,428i COUPE,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193,premium gasoline,automatic
BMW,428i COUPE,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200,premium gasoline,manual
BMW,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209,premium gasoline,automatic
BMW,435i COUPE,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221,premium gasoline,automatic
BMW,435i COUPE,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230,premium gasoline,manual
BMW,435i xDRIVE COUPE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228,premium gasoline,automatic
BMW,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237,premium gasoline,manual
BMW,528i,MID-SIZE,2,4,A8,Z,10.2,7,8.8,32,202,premium gasoline,automatic
BMW,528i xDRIVE,MID-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209,premium gasoline,automatic
BMW,535d xDRIVE,MID-SIZE,3,6,A8,D,9.2,6.4,7.9,36,213,diesel,automatic
BMW,535i xDRIVE,MID-SIZE,3,6,A8,Z,11.9,8,10.1,28,232,premium gasoline,automatic
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246,premium gasoline,automatic
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281,premium gasoline,automatic
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,premium gasoline,automatic
BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,A8,Z,11.9,8,10.1,28,232,premium gasoline,automatic
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292,premium gasoline,automatic
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281,premium gasoline,automatic
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292,premium gasoline,automatic
BMW,740Li xDRIVE,FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246,premium gasoline,automatic
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,premium gasoline,automatic
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,premium gasoline,automatic
BMW,760Li,FULL-SIZE,6,12,A8,Z,18.7,11.5,15.5,18,356,premium gasoline,automatic
BMW,ACTIVEHYBRID 3,COMPACT,3,6,A8,Z,9.2,7.1,8.3,34,191,premium gasoline,automatic
BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,A8,Z,10.5,7.9,9.3,30,214,premium gasoline,automatic
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,A8,Z,10.5,7.6,9.2,31,212,premium gasoline,automatic
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,premium gasoline,automatic
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292,premium gasoline,automatic
BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,premium gasoline,automated manual
